mode,trans_A,trans_B,BM,BK,BN,TM,TK,TN,latency
dds,True,False,16,16,16,4,4,4,135.2541
dds,True,False,16,16,32,4,4,4,88.3433
dds,True,False,16,16,64,4,4,4,80.7328
dds,True,False,16,32,16,4,4,4,147.7196
dds,True,False,16,32,32,4,4,4,83.4137
dds,True,False,16,32,64,4,4,4,80.5606
dds,True,False,16,64,16,4,4,4,178.6693
dds,True,False,16,64,32,4,4,4,96.307
dds,True,False,16,64,64,4,4,4,85.6432
dds,True,False,32,16,16,4,4,4,97.407
dds,True,False,32,16,32,4,4,4,64.0028
dds,True,False,32,16,64,4,4,4,56.0378
dds,True,False,32,32,16,4,4,4,112.9191
dds,True,False,32,32,32,4,4,4,71.4564
dds,True,False,32,32,64,4,4,4,59.7966
dds,True,False,32,64,16,4,4,4,124.0738
dds,True,False,32,64,32,4,4,4,80.3177
dds,True,False,32,64,64,4,4,4,61.5147
dds,True,False,64,16,16,4,4,4,124.6127
dds,True,False,64,16,32,4,4,4,76.9557
dds,True,False,64,32,16,4,4,4,143.3676
dds,True,False,64,32,32,4,4,4,84.2901
dds,True,False,64,64,16,4,4,4,150.3928
dds,True,False,64,64,32,4,4,4,87.5746
dds,True,True,16,16,16,4,4,4,163.2706
dds,True,True,16,16,32,4,4,4,111.4495
dds,True,True,16,16,64,4,4,4,105.2302
dds,True,True,16,32,16,4,4,4,215.4126
dds,True,True,16,32,32,4,4,4,103.8571
dds,True,True,16,32,64,4,4,4,92.4045
dds,True,True,16,64,16,4,4,4,310.5157
dds,True,True,16,64,32,4,4,4,149.429
dds,True,True,16,64,64,4,4,4,134.981
dds,True,True,32,16,16,4,4,4,103.7712
dds,True,True,32,16,32,4,4,4,70.4374
dds,True,True,32,16,64,4,4,4,63.2451
dds,True,True,32,32,16,4,4,4,127.7935
dds,True,True,32,32,32,4,4,4,85.6814
dds,True,True,32,32,64,4,4,4,69.7582
dds,True,True,32,64,16,4,4,4,155.0835
dds,True,True,32,64,32,4,4,4,112.8103
dds,True,True,32,64,64,4,4,4,91.3851
dds,True,True,64,16,16,4,4,4,126.8568
dds,True,True,64,16,32,4,4,4,81.2913
dds,True,True,64,32,16,4,4,4,149.8753
dds,True,True,64,32,32,4,4,4,91.8136
dds,True,True,64,64,16,4,4,4,167.0518
dds,True,True,64,64,32,4,4,4,105.5301
dsd,False,False,16,16,16,4,4,4,108.1017
dsd,False,False,16,16,32,4,4,4,87.8983
dsd,False,False,16,16,64,4,4,4,80.2562
dsd,False,False,16,32,16,4,4,4,111.9973
dsd,False,False,16,32,32,4,4,4,83.6637
dsd,False,False,16,32,64,4,4,4,83.4532
dsd,False,False,16,64,16,4,4,4,135.7782
dsd,False,False,16,64,32,4,4,4,96.0233
dsd,False,False,32,16,16,4,4,4,72.3478
dsd,False,False,32,16,32,4,4,4,57.4545
dsd,False,False,32,16,64,4,4,4,52.2037
dsd,False,False,32,32,16,4,4,4,78.8152
dsd,False,False,32,32,32,4,4,4,59.3432
dsd,False,False,32,32,64,4,4,4,54.5784
dsd,False,False,32,64,16,4,4,4,91.2725
dsd,False,False,32,64,32,4,4,4,67.9594
dsd,False,False,64,16,16,4,4,4,60.3805
dsd,False,False,64,16,32,4,4,4,49.5804
dsd,False,False,64,16,64,4,4,4,46.6983
dsd,False,False,64,32,16,4,4,4,73.6614
dsd,False,False,64,32,32,4,4,4,53.7312
dsd,False,False,64,32,64,4,4,4,46.5469
dsd,False,False,64,64,16,4,4,4,85.0814
dsd,False,False,64,64,32,4,4,4,56.0396
dsd,False,True,16,16,16,4,4,4,130.935
dsd,False,True,16,16,32,4,4,4,109.5658
dsd,False,True,16,16,64,4,4,4,92.5529
dsd,False,True,16,32,16,4,4,4,178.6903
dsd,False,True,16,32,32,4,4,4,101.6086
dsd,False,True,16,32,64,4,4,4,96.7423
dsd,False,True,16,64,16,4,4,4,278.8124
dsd,False,True,16,64,32,4,4,4,142.8228
dsd,False,True,32,16,16,4,4,4,87.9781
dsd,False,True,32,16,32,4,4,4,66.9843
dsd,False,True,32,16,64,4,4,4,59.9348
dsd,False,True,32,32,16,4,4,4,94.2587
dsd,False,True,32,32,32,4,4,4,73.2396
dsd,False,True,32,32,64,4,4,4,65.7842
dsd,False,True,32,64,16,4,4,4,124.7007
dsd,False,True,32,64,32,4,4,4,98.0345
dsd,False,True,64,16,16,4,4,4,68.01
dsd,False,True,64,16,32,4,4,4,54.7027
dsd,False,True,64,16,64,4,4,4,49.913
dsd,False,True,64,32,16,4,4,4,82.1206
dsd,False,True,64,32,32,4,4,4,61.7535
dsd,False,True,64,32,64,4,4,4,53.0829
dsd,False,True,64,64,16,4,4,4,101.6558
dsd,False,True,64,64,32,4,4,4,70.1075
dsd,True,False,16,16,16,4,4,4,128.4223
dsd,True,False,16,16,32,4,4,4,90.0412
dsd,True,False,16,16,64,4,4,4,83.3222
dsd,True,False,16,32,16,4,4,4,142.1878
dsd,True,False,16,32,32,4,4,4,86.9283
dsd,True,False,16,32,64,4,4,4,84.5636
dsd,True,False,16,64,16,4,4,4,163.221
dsd,True,False,16,64,32,4,4,4,99.8338
dsd,True,False,32,16,16,4,4,4,93.9119
dsd,True,False,32,16,32,4,4,4,62.1346
dsd,True,False,32,16,64,4,4,4,56.0104
dsd,True,False,32,32,16,4,4,4,111.0007
dsd,True,False,32,32,32,4,4,4,70.8843
dsd,True,False,32,32,64,4,4,4,59.1251
dsd,True,False,32,64,16,4,4,4,119.8824
dsd,True,False,32,64,32,4,4,4,80.5292
dsd,True,False,64,16,16,4,4,4,123.8651
dsd,True,False,64,16,32,4,4,4,76.5209
dsd,True,False,64,16,64,4,4,4,60.1391
dsd,True,False,64,32,16,4,4,4,141.5866
dsd,True,False,64,32,32,4,4,4,83.946
dsd,True,False,64,32,64,4,4,4,60.4473
dsd,True,False,64,64,16,4,4,4,148.974
dsd,True,False,64,64,32,4,4,4,87.7046
dsd,True,True,16,16,16,4,4,4,159.7035
dsd,True,True,16,16,32,4,4,4,112.7343
dsd,True,True,16,16,64,4,4,4,96.109
dsd,True,True,16,32,16,4,4,4,216.4289
dsd,True,True,16,32,32,4,4,4,113.0748
dsd,True,True,16,32,64,4,4,4,102.4129
dsd,True,True,16,64,16,4,4,4,311.4233
dsd,True,True,16,64,32,4,4,4,152.9842
dsd,True,True,32,16,16,4,4,4,101.2226
dsd,True,True,32,16,32,4,4,4,73.1764
dsd,True,True,32,16,64,4,4,4,62.08
dsd,True,True,32,32,16,4,4,4,128.2265
dsd,True,True,32,32,32,4,4,4,85.9566
dsd,True,True,32,32,64,4,4,4,71.4414
dsd,True,True,32,64,16,4,4,4,156.3029
dsd,True,True,32,64,32,4,4,4,112.7689
dsd,True,True,64,16,16,4,4,4,127.2963
dsd,True,True,64,16,32,4,4,4,79.6703
dsd,True,True,64,16,64,4,4,4,61.7858
dsd,True,True,64,32,16,4,4,4,149.5118
dsd,True,True,64,32,32,4,4,4,91.4158
dsd,True,True,64,32,64,4,4,4,67.6785
dsd,True,True,64,64,16,4,4,4,168.1443
dsd,True,True,64,64,32,4,4,4,105.573
sdd,False,False,16,16,16,4,4,4,110.7007
sdd,False,False,16,16,32,4,4,4,83.8641
sdd,False,False,16,16,64,4,4,4,79.1289
sdd,False,False,16,32,16,4,4,4,119.6233
sdd,False,False,16,32,32,4,4,4,82.5102
sdd,False,False,16,32,64,4,4,4,78.6386
sdd,False,False,16,64,16,4,4,4,145.0991
sdd,False,False,16,64,32,4,4,4,89.7248
sdd,False,False,16,64,64,4,4,4,83.423
sdd,False,False,32,16,16,4,4,4,72.6872
sdd,False,False,32,16,32,4,4,4,54.0949
sdd,False,False,32,16,64,4,4,4,51.6267
sdd,False,False,32,32,16,4,4,4,82.8882
sdd,False,False,32,32,32,4,4,4,59.9318
sdd,False,False,32,32,64,4,4,4,54.2268
sdd,False,False,32,64,16,4,4,4,92.1725
sdd,False,False,32,64,32,4,4,4,67.4228
sdd,False,False,32,64,64,4,4,4,55.8651
sdd,False,False,64,16,16,4,4,4,57.2198
sdd,False,False,64,16,32,4,4,4,49.1785
sdd,False,False,64,16,64,4,4,4,46.1422
sdd,False,False,64,32,16,4,4,4,74.8587
sdd,False,False,64,32,32,4,4,4,53.8419
sdd,False,False,64,32,64,4,4,4,46.7183
sdd,False,True,16,16,16,4,4,4,131.2918
sdd,False,True,16,16,32,4,4,4,104.9111
sdd,False,True,16,16,64,4,4,4,100.4713
sdd,False,True,16,32,16,4,4,4,178.6799
sdd,False,True,16,32,32,4,4,4,96.054
sdd,False,True,16,32,64,4,4,4,88.2646
sdd,False,True,16,64,16,4,4,4,271.7691
sdd,False,True,16,64,32,4,4,4,138.3314
sdd,False,True,16,64,64,4,4,4,132.6129
sdd,False,True,32,16,16,4,4,4,77.3388
sdd,False,True,32,16,32,4,4,4,59.9648
sdd,False,True,32,16,64,4,4,4,60.089
sdd,False,True,32,32,16,4,4,4,94.166
sdd,False,True,32,32,32,4,4,4,72.2477
sdd,False,True,32,32,64,4,4,4,64.8427
sdd,False,True,32,64,16,4,4,4,120.019
sdd,False,True,32,64,32,4,4,4,97.3089
sdd,False,True,32,64,64,4,4,4,83.1809
sdd,False,True,64,16,16,4,4,4,59.4227
sdd,False,True,64,16,32,4,4,4,52.1191
sdd,False,True,64,16,64,4,4,4,49.1211
sdd,False,True,64,32,16,4,4,4,81.5417
sdd,False,True,64,32,32,4,4,4,59.0152
sdd,False,True,64,32,64,4,4,4,52.0989
sdd,True,False,16,16,16,4,4,4,130.6109
sdd,True,False,16,16,32,4,4,4,84.93
sdd,True,False,16,16,64,4,4,4,79.0723
sdd,True,False,16,32,16,4,4,4,142.6209
sdd,True,False,16,32,32,4,4,4,82.0366
sdd,True,False,16,32,64,4,4,4,81.5747
sdd,True,False,16,64,16,4,4,4,165.6981
sdd,True,False,16,64,32,4,4,4,92.0803
sdd,True,False,16,64,64,4,4,4,84.1962
sdd,True,False,32,16,16,4,4,4,96.9497
sdd,True,False,32,16,32,4,4,4,62.008
sdd,True,False,32,16,64,4,4,4,55.4291
sdd,True,False,32,32,16,4,4,4,113.3967
sdd,True,False,32,32,32,4,4,4,70.2921
sdd,True,False,32,32,64,4,4,4,58.7307
sdd,True,False,32,64,16,4,4,4,120.7301
sdd,True,False,32,64,32,4,4,4,78.2809
sdd,True,False,32,64,64,4,4,4,60.8745
sdd,True,False,64,16,16,4,4,4,125.0771
sdd,True,False,64,16,32,4,4,4,76.4491
sdd,True,False,64,16,64,4,4,4,60.097
sdd,True,False,64,32,16,4,4,4,141.8331
sdd,True,False,64,32,32,4,4,4,83.7384
sdd,True,False,64,32,64,4,4,4,60.9805
sdd,True,True,16,16,16,4,4,4,159.6109
sdd,True,True,16,16,32,4,4,4,105.5516
sdd,True,True,16,16,64,4,4,4,100.7452
sdd,True,True,16,32,16,4,4,4,211.4903
sdd,True,True,16,32,32,4,4,4,101.2889
sdd,True,True,16,32,64,4,4,4,90.9672
sdd,True,True,16,64,16,4,4,4,303.9266
sdd,True,True,16,64,32,4,4,4,146.3723
sdd,True,True,16,64,64,4,4,4,133.093
sdd,True,True,32,16,16,4,4,4,103.5772
sdd,True,True,32,16,32,4,4,4,71.01
sdd,True,True,32,16,64,4,4,4,63.2092
sdd,True,True,32,32,16,4,4,4,128.0946
sdd,True,True,32,32,32,4,4,4,86.1027
sdd,True,True,32,32,64,4,4,4,68.897
sdd,True,True,32,64,16,4,4,4,153.6706
sdd,True,True,32,64,32,4,4,4,111.8289
sdd,True,True,32,64,64,4,4,4,91.2396
sdd,True,True,64,16,16,4,4,4,127.9097
sdd,True,True,64,16,32,4,4,4,80.6409
sdd,True,True,64,16,64,4,4,4,62.273
sdd,True,True,64,32,16,4,4,4,148.6517
sdd,True,True,64,32,32,4,4,4,90.9354
sdd,True,True,64,32,64,4,4,4,67.6934
